Andorra;Andorra la Vella;EU
United Arab Emirates;Abu Dhabi;AS
Afghanistan;Kabul;AS
Antigua and Barbuda;St. John's;NA
Anguilla;The Valley;NA
Albania;Tirana;EU
Armenia;Yerevan;AS
Netherlands Antilles;Willemstad;NA
Angola;Luanda;AF
Antarctica;;AN
Argentina;Buenos Aires;SA
American Samoa;Pago Pago;OC
Austria;Vienna;EU
Australia;Canberra;OC
Aruba;Oranjestad;NA
Ă…land;Mariehamn;EU
Azerbaijan;Baku;AS
Bosnia and Herzegovina;Sarajevo;EU
Barbados;Bridgetown;NA
Bangladesh;Dhaka;AS
Belgium;Brussels;EU
Burkina Faso;Ouagadougou;AF
Bulgaria;Sofia;EU
Bahrain;Manama;AS
Burundi;Bujumbura;AF
Benin;Porto-Novo;AF
Saint BarthĂ©lemy;Gustavia;NA
Bermuda;Hamilton;NA
Brunei;Bandar Seri Begawan;AS
Bolivia;Sucre;SA
Bonaire;;NA
Brazil;Brasilia;SA
Bahamas;Nassau;NA
Bhutan;Thimphu;AS
Bouvet Island;;AN
Botswana;Gaborone;AF
Belarus;Minsk;EU
Belize;Belmopan;NA
Canada;Ottawa;NA
Cocos [Keeling] Islands;West Island;AS
Democratic Republic of the Congo;Kinshasa;AF
Central African Republic;Bangui;AF
Republic of the Congo;Brazzaville;AF
Switzerland;Bern;EU
Ivory Coast;Yamoussoukro;AF
Cook Islands;Avarua;OC
Chile;Santiago;SA
Cameroon;Yaounde;AF
China;Beijing;AS
Colombia;Bogota;SA
Costa Rica;San Jose;NA
Serbia and Montenegro;Belgrade;EU
Cuba;Havana;NA
Cape Verde;Praia;AF
Curacao;Willemstad;NA
Christmas Island;Flying Fish Cove;OC
Cyprus;Nicosia;EU
Czechia;Prague;EU
Germany;Berlin;EU
Djibouti;Djibouti;AF
Denmark;Copenhagen;EU
Dominica;Roseau;NA
Dominican Republic;Santo Domingo;NA
Algeria;Algiers;AF
Ecuador;Quito;SA
Estonia;Tallinn;EU
Egypt;Cairo;AF
Western Sahara;El-Aaiun;AF
Eritrea;Asmara;AF
Spain;Madrid;EU
Ethiopia;Addis Ababa;AF
Finland;Helsinki;EU
Fiji;Suva;OC
Falkland Islands;Stanley;SA
Micronesia;Palikir;OC
Faroe Islands;Torshavn;EU
France;Paris;EU
Gabon;Libreville;AF
United Kingdom;London;EU
Grenada;St. George's;NA
Georgia;Tbilisi;AS
French Guiana;Cayenne;SA
Guernsey;St Peter Port;EU
Ghana;Accra;AF
Gibraltar;Gibraltar;EU
Greenland;Nuuk;NA
Gambia;Banjul;AF
